filing_date,trade_date,ticker,company,insider_name,title,trade_type,price,qty,owned,delta_own,value,cluster_buy
2026-02-23,2026-02-20,ARDX,"Ardelyx, Inc.",Mott David M,Dir,P - Purchase,5.84,333333,3302918,+11%,1946331,True
2026-02-23,2026-02-19,AVTR,"Avantor, Inc.",Lucier Gregory T,Dir,P - Purchase,9.16,50000,58736,+572%,458000,False
2026-02-23,2026-02-19,RPC,"Ridgepost Capital, Inc.",Stewart Robert B Jr,Dir,P - Purchase,8.65,10000,144525,+7%,86500,False
2026-02-23,2026-02-19,LEE,"Lee Enterprises, Inc",Hoffmann David Henry,"Dir, 10%",P - Purchase,8.65,36400,11592039,0%,314784,False
2026-02-23,2026-02-19,LPX,Louisiana-Pacific Corp,Grasberger F Nicholas  III,Dir,P - Purchase,85.49,20000,38954,+106%,1709800,False
2026-02-23,2026-02-20,FFIN,First Financial Bankshares Inc,Haney Geoff,Dir,P - Purchase,33.18,10200,32146,+46%,338436,False
2026-02-23,2026-02-20,GPN,Global Payments Inc,Johnson Joia M,Dir,P - Purchase,81.90,1213,16567,+8%,99345,False
2026-02-23,2026-02-19,PFLT,Pennantpark Floating Rate Capital Ltd.,Briones Jose A,Dir,P - Purchase,8.48,5895,350314,+2%,49990,False
2026-02-23,2026-02-20,CNDT,Conduent Inc,Agadi Harshavardhan V,CEO,P - Purchase,1.56,117099,2233928,+6%,182909,False
2026-02-23,2026-02-19,HBAN,Huntington Bancshares Inc /Md/,Torgow Gary,Dir,P - Purchase,17.81,14200,949016,+2%,252902,False
2026-02-23,2026-02-20,VERX,"Vertex, Inc.",Andersen Eric C.,Dir,P - Purchase,12.91,40000,150341,+36%,516400,False
